Bakteri Target,Test,Report Group,Antimicrobial Agent,Disk Content,Satuan (DC),Zone Diameter IC - S,Zone Diameter IC - SDD - BB,Zone Diameter IC - SDD - BA,Zone Diameter IC - I - BB,Zone Diameter IC - I - BA,Zone Diameter IC - R,MIC IC (µg/mL) - S,MIC IC (µg/mL) - SSD - BB,MIC IC (µg/mL) - SSD - BA,MIC IC (µg/mL) - I - BB,MIC IC (µg/mL) - I - BA,MIC IC (µg/mL) - R,Comments
Enterobacteriaceae,FLUOROQUINOLONES,O,Grepafloxacin,5,µg,18,,,15,17,14,1,,,2,2,4,
Enterobacteriaceae,FLUOROQUINOLONES,Inv.,Fleroxacin,5,µg,19,,,16,18,15,2,,,4,4,8,
Enterobacteriaceae,QUINOLONES,O,Cinoxacin,100,µg,19,,,15,18,14,16,,,32,32,64,See comment (24).
Enterobacteriaceae,QUINOLONES,O,Nalidixic acid,30,µg,19,,,14,18,13,16,,,-,-,32,"(38) These interpretive criteria are for urinary tract
isolates of Enterobacteriaceae and for all isolates of
Salmonella.
(39) Until laboratories can implement the current
interpretive criteria for ciprofloxacin, levofloxacin,
and/or ofloxacin, nalidixic acid may be
used to test for reduced fluoroquinolone
susceptibility in Salmonella. Strains of Salmonella
that test resistant to nalidixic acid may be
associated with clinical failure or delayed
response in fluoroquinolone-treated patients with
salmonellosis.
Note that nalidixic acid may not detect all
mechanisms of fluoroquinolone resistance."
Enterobacteriaceae,FOLATE PATHWAY INHIBITORS,B,"Trimethoprim-
sulfamethoxazole",1.25/23.75,µg,16,,,11,15,10,2/38,,,-,-,4/76,See comment (2).
Enterobacteriaceae,FOLATE PATHWAY INHIBITORS,U,Sulfonamides,250,µg,17,,,13,16,12,256,,,-,-,512,"(40) Sulfisoxazole can be used to represent any of
the currently available sulfonamide preparations."
Enterobacteriaceae,,,,300,µg,17,,,13,16,12,256,,,-,-,512,"(40) Sulfisoxazole can be used to represent any of
the currently available sulfonamide preparations."
Enterobacteriaceae,FOLATE PATHWAY INHIBITORS,U,Trimethoprim,5,µg,16,,,11,15,10,8,,,-,-,16,
Enterobacteriaceae,PHENICOLS,C,Chloramphenicol,30,µg,18,,,13,17,12,8,,,16,16,32,"(41) Not routinely reported on isolates from the
urinary tract."
Enterobacteriaceae,FOSFOMYCINS,O,Fosfomycin,200,µg,16,,,13,15,12,64,,,128,128,256,"(42) For testing and reporting of E. coli urinary tract
isolates only.
(43) The 200-µg fosfomycin disk contains 50 µg of
glucose-6-phosphate.
(44) The only approved MIC method for testing is
agar dilution using agar media supplemented with
25 µg/mL of glucose-6-phosphate. Broth dilution
MIC testing should not be performed."
Enterobacteriaceae,NITROFURANS,U,Nitrofurantoin,300,µg,17,,,15,16,14,32,,,64,64,128,
